Variable,Subgroup,Response,Description,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,2/1/2013,3/1/2013,4/1/2013,6/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,3/1/2015,4/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,2/1/2017,3/1/2017,4/1/2017,4/15/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,6/1/2018,7/1/2018,8/1/2018,10/1/2018,11/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,6/1/2019,7/1/2019,9/1/2019,10/1/2019,11/1/2019,1/1/2020,2/1/2020,4/1/2020,5/1/2020,7/1/2020,9/1/2020,10/1/2020,12/1/2020,2/1/2021,5/1/2021,10/1/2021,3/1/2022,3/1/2023,5/1/2023,2/1/2024,4/1/2024,1/1/2025
Party ID,Republican,Unfavorable,,78,85,69,69,77,73,79,70,76,81,84,82,74,74,73,71,65,76,81,78,69,73,76,75,82,82,79,76,80,76,77,75,72,68,67,76,73,74,78,82,80,81,78,74,76,75,74,82,74,77,74,79,78,74,75,69,71,71,73,79,75,79,75,78,78,78,81,73,76,76,83,79,74,74,77,78,72,78,77,81,75,78,71,81,77,78,78,79,78,77,78,73,76,82,77,75,77,70,80,79,77,73,74,77,72,76,72,79,79,71,75,77,72,79,70,73,67,66,72
Party ID,Republican,Don't Know,,9,8,7,10,8,6,10,14,12,6,4,8,14,9,6,12,12,10,8,11,12,15,7,14,11,10,14,12,12,7,12,13,15,15,17,11,13,15,10,11,13,10,10,11,13,12,12,6,15,13,12,11,10,11,9,15,12,9,15,9,12,8,12,9,9,9,7,14,12,7,6,9,8,8,4,7,11,10,4,3,5,10,8,2,6,4,4,5,4,9,7,6,8,6,7,7,9,13,7,5,8,6,7,6,9,5,10,5,4,10,7,9,2,1,1,0,-,-,0
Registered Voters,Total Voters,Favorable,Views of the ACA among those who are registered to vote,44,41,48,49,43,49,41,40,-,-,-,-,38,41,40,40,39,41,33,37,40,37,40,40,40,36,41,38,37,45,39,43,36,-,-,-,-,39,38,32,33,36,34,37,40,38,39,36,35,37,38,-,-,-,-,-,-,46,41,39,38,39,39,42,40,37,41,40,40,44,45,45,43,47,-,46,47,50,51,-,-,-,-,-,50,52,50,48,48,52,51,49,54,-,-,49,50,48,47,52,52,51,51,53,52,51,51,48,54,52,-,-,-,55,-,59,57,60,62
Registered Voters,Total Voters,Unfavorable,,44,47,42,39,47,40,46,43,-,-,-,-,46,47,49,47,47,46,55,47,46,45,46,44,48,47,45,46,47,42,46,42,46,-,-,-,-,46,47,53,50,51,49,49,49,47,48,55,49,45,48,-,-,-,-,-,-,43,47,47,49,48,46,47,48,52,47,47,44,49,49,49,47,45,-,49,43,45,43,-,-,-,-,-,44,43,45,46,45,43,41,46,40,-,-,42,41,42,44,44,43,43,41,40,41,43,38,46,41,38,-,-,-,44,-,41,42,39,38
Registered Voters,Total Voters,Don't Know,,12,12,9,12,10,10,14,16,-,-,-,-,16,12,12,13,15,13,12,16,15,17,13,15,11,16,14,16,16,13,16,15,19,-,-,-,-,15,15,15,16,13,16,13,12,15,13,9,16,17,14,-,-,-,-,-,-,11,11,13,13,12,15,11,11,11,12,13,16,7,8,7,10,9,-,6,10,6,6,-,-,-,-,-,6,4,6,6,7,5,8,6,6,-,-,8,10,10,8,5,6,4,7,6,7,6,11,5,4,10,-,-,-,1,-,0,1,1,0
Registered Voters,Democratic Voters,Favorable,Views of the ACA among those who identify as Democrat and are registered to vote,76,73,72,74,70,75,69,68,-,-,-,-,61,73,65,64,64,67,54,62,62,63,65,68,72,63,75,69,65,75,66,72,61,-,-,-,-,66,71,58,69,61,60,66,69,66,69,62,61,62,67,-,-,-,-,-,-,80,70,65,66,71,66,69,71,67,73,63,67,74,78,76,72,77,-,77,74,79,77,-,-,-,-,-,82,82,73,79,81,81,79,74,85,-,-,83,80,80,82,87,82,86,85,86,78,81,80,82,86,88,-,-,-,88,-,89,88,90,93
Registered Voters,Democratic Voters,Unfavorable,,13,15,17,15,17,12,17,14,-,-,-,-,21,15,21,20,24,20,31,21,23,20,19,12,14,18,13,16,18,14,15,13,15,-,-,-,-,16,16,24,13,25,21,18,18,19,19,24,21,21,21,-,-,-,-,-,-,11,20,19,22,15,19,17,17,25,15,20,16,19,14,19,16,17,-,18,17,15,16,-,-,-,-,-,15,14,19,15,15,15,16,19,12,-,-,9,10,12,10,10,10,10,9,8,16,16,12,14,9,6,-,-,-,12,-,11,12,8,7
Registered Voters,Democratic Voters,Don't Know,,12,12,11,11,12,12,13,17,-,-,-,-,18,11,14,15,12,13,15,18,15,17,16,20,14,20,13,15,17,11,20,13,25,-,-,-,-,18,13,18,18,14,19,15,13,15,13,13,18,18,11,-,-,-,-,-,-,9,10,16,12,14,15,14,11,7,12,18,17,7,8,4,12,7,-,5,9,5,6,-,-,-,-,-,3,3,8,6,4,5,5,7,3,-,-,8,10,9,8,3,7,4,6,6,6,3,8,3,5,6,-,-,-,0,-,0,1,1,0
Registered Voters,Independent Voters,Favorable,Views of the ACA among those who identify as Independent and are registered to vote,35,34,47,45,42,41,29,36,-,-,-,-,38,34,31,36,32,37,29,32,31,30,39,40,36,33,36,34,35,38,34,38,31,-,-,-,-,34,34,32,26,31,33,31,38,37,31,34,28,36,37,-,-,-,-,-,-,42,39,39,32,34,36,43,39,33,38,39,36,43,38,42,42,47,-,43,47,47,54,-,-,-,-,-,49,53,47,46,45,53,50,47,45,-,-,44,53,49,49,48,54,54,51,54,51,54,52,48,58,49,-,-,-,57,-,63,53,62,67
Registered Voters,Independent Voters,Unfavorable,,51,53,44,41,50,48,53,48,-,-,-,-,46,52,57,54,51,51,57,51,55,51,44,46,55,53,49,49,47,44,51,47,51,-,-,-,-,53,51,58,60,57,52,58,52,47,56,61,55,48,48,-,-,-,-,-,-,47,51,46,52,52,49,49,50,51,50,50,50,47,55,52,48,42,-,51,42,46,40,-,-,-,-,-,44,42,46,46,44,43,40,47,48,-,-,47,38,43,43,46,42,42,39,41,39,39,38,44,38,39,-,-,-,41,-,37,45,37,33
Registered Voters,Independent Voters,Don't Know,,14,13,10,14,9,11,17,17,-,-,-,-,16,14,12,11,18,12,13,16,13,19,18,13,9,14,15,18,17,18,15,16,17,-,-,-,-,12,15,10,14,12,14,11,9,16,13,6,16,16,16,-,-,-,-,-,-,12,11,14,16,14,16,8,12,16,13,10,14,9,8,6,10,11,-,6,11,7,6,-,-,-,-,-,8,6,6,8,11,4,9,6,7,-,-,9,9,8,7,7,5,4,9,5,10,8,10,8,3,12,-,-,-,2,-,0,2,1,0
Registered Voters,Republican Voters,Favorable,Views of the ACA among those who identify as Republican and are registered to vote,11,8,23,20,15,19,11,13,-,-,-,-,11,14,19,16,19,13,10,12,18,9,15,10,7,6,6,11,5,13,10,11,11,-,-,-,-,11,10,7,6,8,8,11,10,11,13,12,11,10,13,-,-,-,-,-,-,17,13,10,14,12,12,11,12,11,11,13,12,15,10,11,16,17,-,13,15,11,15,-,-,-,-,-,15,18,15,15,18,16,14,19,18,-,-,17,13,14,13,14,13,17,18,12,19,16,17,12,15,18,-,-,-,19,-,24,30,32,25
Registered Voters,Republican Voters,Unfavorable,,81,85,71,71,78,76,81,75,-,-,-,-,75,78,74,72,69,78,83,79,70,79,79,79,84,84,81,78,83,79,80,76,75,-,-,-,-,73,81,83,82,82,81,78,78,77,79,82,75,79,76,-,-,-,-,-,-,75,75,82,78,81,77,79,80,81,82,75,76,79,85,80,76,77,-,81,74,82,80,-,-,-,-,-,80,79,81,82,80,80,78,77,75,-,-,78,80,74,82,82,81,78,78,84,74,79,74,83,81,73,-,-,-,80,-,75,70,68,75
Registered Voters,Republican Voters,Don't Know,,8,7,6,9,8,5,9,12,-,-,-,-,13,8,7,12,11,10,6,10,12,12,6,11,9,10,12,11,12,8,10,13,14,-,-,-,-,15,9,10,12,10,11,10,12,12,9,6,14,11,12,-,-,-,-,-,-,7,13,8,9,8,12,10,8,9,7,12,12,5,6,9,7,7,-,5,10,6,4,-,-,-,-,-,4,4,3,3,4,4,8,5,7,-,-,5,7,12,5,4,5,5,5,4,6,3,10,4,3,9,-,-,-,1,-,0,-,-,0
Income,"Less than $40,000",Favorable,"Views of the ACA among those whose annual household income is less than $40,000",50,47,49,56,46,54,47,44,42,41,46,41,43,44,39,47,38,40,34,37,46,37,51,44,42,38,38,39,35,51,36,43,38,35,38,34,40,39,36,34,36,36,37,37,41,40,39,37,35,37,38,45,42,40,45,40,42,43,44,43,40,43,43,43,45,35,47,44,45,49,50,44,46,50,49,49,48,49,54,56,60,48,53,52,49,59,55,49,51,51,50,49,54,48,54,52,44,49,53,58,50,58,61,57,52,57,56,51,60,58,56,58,58,56,69,63,58,68,71
Income,"Less than $40,000",Unfavorable,,32,36,35,22,40,29,36,31,35,47,43,42,35,38,44,35,39,37,46,38,35,37,30,30,36,39,38,38,39,31,39,33,35,34,32,36,36,39,39,44,42,44,41,44,39,40,40,48,42,36,41,37,38,38,35,38,36,36,38,37,38,40,39,41,40,46,35,39,35,42,38,38,42,36,42,42,36,39,47,39,30,39,36,42,39,34,38,40,39,35,36,37,35,36,31,31,35,33,30,32,37,33,28,30,32,35,26,37,35,24,35,24,38,40,27,36,39,30,28
Income,"Less than $40,000",Don't Know,,18,17,16,21,14,16,17,25,23,13,12,17,22,18,17,18,22,23,19,26,18,25,19,25,22,23,24,24,25,19,25,24,27,31,31,30,24,21,26,21,22,20,22,20,20,20,21,15,23,27,22,18,19,22,20,22,22,20,18,20,22,17,18,16,15,17,17,17,20,9,11,17,12,14,9,9,16,13,9,6,9,14,12,6,11,7,8,12,11,14,13,14,10,16,15,16,21,17,17,11,12,8,11,14,17,10,18,12,5,17,9,18,3,4,3,1,3,2,1
Income,"$40,000-$89,999",Favorable,"Views of the ACA among those whose annual household income is between $40,000 and $89,999",45,42,53,47,46,48,43,39,47,38,44,41,40,47,48,39,44,47,37,39,35,38,40,37,44,38,45,42,38,46,40,44,38,38,34,36,37,37,37,33,34,33,33,41,34,40,41,34,35,34,36,38,33,41,40,38,42,44,41,43,33,37,40,39,39,39,38,36,37,44,37,43,40,43,46,44,48,52,48,44,48,44,52,52,47,51,48,50,52,47,47,54,55,52,50,50,54,44,45,50,52,49,48,55,49,51,50,50,55,52,56,51,59,54,56,60,60,62,62
Income,"$40,000-$89,999",Unfavorable,,44,50,42,44,44,44,47,48,45,57,52,48,45,44,44,48,46,45,56,44,48,47,49,47,47,47,42,46,47,45,45,43,45,44,46,46,47,48,52,52,55,55,53,46,55,48,47,59,48,48,52,51,57,47,50,45,47,46,48,44,54,51,49,48,51,53,52,50,52,50,55,50,52,50,47,51,44,40,45,51,46,49,41,45,47,44,45,44,43,43,42,41,40,42,39,42,39,44,48,46,40,46,44,42,44,44,41,42,38,36,40,40,41,46,43,39,39,38,38
Income,"$40,000-$89,999",Don't Know,,12,7,5,9,10,8,11,12,8,6,5,10,16,9,8,13,10,8,7,17,17,14,11,15,9,15,12,11,14,10,15,12,17,18,20,18,16,14,11,15,12,13,14,12,11,13,12,7,17,18,12,10,10,12,11,17,12,10,11,13,13,11,12,12,10,8,10,13,12,7,8,6,8,7,6,6,9,8,8,5,7,7,6,4,6,3,7,5,6,9,11,5,4,6,10,8,7,11,6,5,8,5,7,3,7,6,9,8,7,12,4,8,0,0,1,1,1,-,-
Income,"$90,000 or more",Favorable,"Views of the ACA among those whose annual household income is $90,000 or more",44,40,48,49,42,36,41,44,43,46,43,42,49,36,38,42,37,39,38,44,49,39,37,43,40,39,46,39,43,42,43,44,32,41,37,36,37,44,46,39,32,38,37,41,44,38,39,38,36,44,43,39,43,44,48,44,56,47,40,39,45,35,39,41,41,42,42,39,43,42,48,45,47,51,55,43,46,50,52,53,51,48,50,48,55,49,50,50,48,51,59,48,51,50,44,47,51,48,51,50,53,50,51,54,49,50,47,52,53,52,52,49,57,57,63,55,61,56,60
Income,"$90,000 or more",Unfavorable,,48,51,51,45,55,59,52,48,46,51,53,52,45,54,58,52,56,50,57,49,42,50,53,48,55,47,45,49,49,52,51,49,53,46,46,50,49,46,45,51,54,56,52,51,47,54,50,56,57,49,49,53,48,48,46,48,38,45,50,51,47,57,52,50,52,49,51,52,43,53,44,48,47,43,42,50,46,46,44,44,44,47,45,48,40,50,48,45,48,45,39,46,42,45,47,47,41,44,43,46,43,47,42,41,46,44,46,46,44,40,44,45,43,42,37,45,39,43,40
Income,"$90,000 or more",Don't Know,,8,8,2,5,3,5,7,8,12,4,4,6,6,10,4,6,8,11,5,7,9,11,10,10,6,13,10,11,8,6,5,8,15,13,16,13,14,10,9,9,13,6,10,8,9,8,10,6,7,7,7,8,9,7,5,8,7,8,11,10,8,8,9,10,7,8,6,8,14,6,8,7,6,6,3,6,8,4,5,3,5,6,4,4,5,1,2,5,4,4,3,4,6,5,9,6,8,8,6,4,4,2,6,5,6,6,7,3,4,8,4,6,0,1,-,0,-,1,0
Age,18-64,Favorable,Views of the ACA among adults between the ages of 18 and 64,49,43,52,53,46,51,44,42,44,41,45,42,43,44,44,44,40,43,35,38,44,37,43,40,43,38,42,39,37,47,39,43,36,38,36,36,39,40,39,33,35,34,36,39,39,38,40,36,35,37,37,41,41,42,45,39,44,44,42,43,39,40,42,42,43,39,42,41,42,46,45,44,43,48,50,45,48,50,51,52,53,47,53,51,51,55,51,50,50,48,51,51,53,52,51,50,50,47,47,54,53,53,52,55,50,53,52,49,55,53,55,53,59,56,64,60,60,62,65
Age,18-64,Unfavorable,,37,42,39,33,42,37,42,39,40,51,46,44,41,43,44,42,44,42,50,43,41,43,43,40,42,43,40,43,44,39,43,38,41,40,39,42,42,42,43,48,48,50,47,44,45,46,44,53,48,43,45,46,45,42,42,43,40,42,45,41,45,47,43,45,46,48,44,46,42,46,45,45,47,43,45,46,39,41,41,43,38,43,38,45,40,40,42,41,41,39,39,41,39,38,36,39,36,38,41,40,39,41,38,36,39,40,36,42,39,35,38,33,39,42,35,39,38,37,35
Age,18-64,Don't Know,,15,14,9,14,12,11,14,19,16,8,8,14,16,14,11,14,17,15,15,19,16,20,15,20,15,19,18,18,19,13,18,18,23,23,24,23,20,17,18,18,18,16,17,16,15,16,15,11,18,20,17,14,15,15,14,19,16,14,13,16,17,13,15,13,12,14,13,13,15,8,10,11,10,9,5,9,12,9,8,6,9,10,9,5,9,5,7,9,8,11,10,9,8,10,12,11,13,15,12,7,9,7,9,8,12,8,13,10,6,13,6,13,1,3,2,1,2,1,0
Age,18-29,Favorable,Views of the ACA among adults between the ages of 18 and 29,47,45,57,68,42,56,49,42,48,48,53,48,40,46,50,47,42,42,37,42,48,37,41,34,47,33,39,46,36,49,39,46,32,38,36,42,38,38,36,36,38,29,39,40,37,44,43,42,37,36,37,41,43,48,46,37,43,50,40,52,39,49,41,45,44,46,45,40,42,52,58,46,53,52,58,51,57,52,52,58,61,54,57,55,54,62,53,56,57,45,60,55,60,63,53,57,56,55,56,66,51,57,55,61,51,63,56,53,60,58,62,58,61,58,69,61,67,70,69
Age,18-29,Unfavorable,,28,36,27,15,44,25,28,25,28,41,33,31,31,33,31,30,31,31,40,30,30,34,35,34,25,35,32,29,36,33,31,28,30,33,31,27,30,40,36,42,38,45,41,34,42,32,35,44,37,34,40,40,37,30,34,35,31,31,40,35,43,32,31,36,39,38,34,42,37,36,30,36,35,35,34,36,31,39,36,38,27,35,30,40,35,30,39,32,29,40,28,33,30,27,28,27,25,31,34,24,37,33,29,25,32,28,25,32,32,26,28,27,39,36,27,38,31,29,31
Age,18-29,Don't Know,,25,20,17,18,14,19,22,34,23,11,15,20,29,22,19,24,27,28,23,28,22,29,23,31,28,31,30,25,28,18,30,25,38,28,33,30,33,22,28,23,25,26,19,27,20,24,21,14,25,31,23,20,19,22,20,28,27,19,19,13,19,19,28,19,17,16,21,19,22,11,13,17,13,14,7,12,12,9,11,5,12,11,12,4,10,8,8,13,14,15,11,11,10,11,19,16,19,14,10,10,12,10,16,14,17,9,19,15,9,16,10,15,0,6,3,0,2,1,0
Age,30-49,Favorable,Views of the ACA among adults between the ages of 30 and 49,50,49,56,56,53,56,46,43,48,39,44,44,49,46,50,48,42,45,36,39,43,35,43,46,43,43,47,34,33,47,43,42,36,37,37,31,38,40,39,38,34,36,35,40,41,36,40,34,32,39,39,40,42,41,49,42,44,44,43,37,41,35,45,45,44,36,42,41,44,41,42,42,36,50,48,45,47,52,53,50,53,46,54,54,55,52,51,52,50,54,47,52,54,48,53,51,51,43,45,51,54,52,55,56,51,52,51,50,56,51,53,48,65,60,64,56,62,60,64
Age,30-49,Unfavorable,,37,38,38,33,35,39,43,40,40,53,48,44,38,43,40,40,43,45,50,41,40,47,46,38,45,39,38,48,50,40,42,42,45,40,38,45,45,44,45,44,50,51,48,48,45,52,47,55,53,45,44,46,46,45,41,42,43,41,43,39,43,55,45,43,45,49,49,46,41,51,47,48,53,42,46,48,40,35,39,44,38,44,39,41,39,45,41,38,43,36,40,38,39,40,36,40,37,42,42,42,38,42,35,36,39,38,37,43,39,35,41,37,36,40,34,43,37,39,35
Age,30-49,Don't Know,,13,13,6,11,12,6,11,17,13,8,7,12,13,11,10,12,15,11,14,20,17,18,11,16,12,18,15,17,17,13,16,15,19,22,24,23,18,16,16,18,17,13,17,11,14,12,14,10,16,16,17,14,12,14,10,16,13,15,14,24,16,10,11,12,11,16,9,13,14,8,11,10,10,7,5,7,13,12,8,7,9,10,7,5,7,3,8,11,7,10,12,10,7,12,12,10,12,15,14,5,7,7,9,8,10,10,12,6,5,14,7,15,0,1,1,1,2,1,0
Age,50-64,Favorable,Views of the ACA among adults between the ages of 50 and 64,47,35,45,39,40,42,37,39,36,39,41,34,39,37,32,38,35,41,31,33,41,39,43,38,40,36,39,39,42,47,35,41,40,37,35,35,40,42,41,28,34,35,34,39,40,37,38,35,35,36,36,42,38,39,38,35,45,42,40,43,36,39,40,36,38,36,43,42,39,47,38,44,42,43,44,42,45,45,49,49,46,42,50,45,45,53,51,43,46,45,48,43,47,48,49,43,45,47,44,47,53,52,48,49,46,47,48,42,49,51,53,55,52,48,57,64,51,58,62
Age,50-64,Unfavorable,,43,52,48,46,51,46,51,48,51,54,53,54,51,49,60,51,53,48,57,57,48,44,43,47,51,54,50,48,44,43,53,42,46,43,46,49,48,43,45,58,52,53,51,48,48,48,50,56,49,48,50,50,49,49,49,48,44,51,52,48,49,48,50,55,52,54,45,50,49,47,54,49,49,49,50,51,46,49,46,47,46,49,44,52,47,44,45,51,49,44,44,50,46,45,44,47,46,40,45,48,41,45,49,45,45,48,42,49,46,40,42,34,46,50,42,35,48,41,38
Age,50-64,Don't Know,,9,13,8,15,9,12,12,12,14,7,5,13,11,14,8,11,11,11,11,9,12,16,13,15,9,10,11,14,14,10,13,16,14,21,18,16,12,14,13,14,14,11,15,14,12,15,12,9,16,16,14,8,14,12,14,16,12,8,8,9,16,13,10,9,9,9,13,8,12,6,8,8,8,9,5,7,9,5,5,4,7,8,7,4,8,4,5,6,5,10,8,7,7,6,8,9,9,13,11,4,7,3,3,5,9,5,10,9,5,8,4,11,2,2,1,1,1,1,0
Age,65+,Favorable,Views of the ACA among adults ages 65 and older,32,35,32,38,34,38,32,38,34,40,32,40,31,36,31,32,35,34,29,36,31,35,39,44,33,30,34,37,43,38,35,40,31,33,32,30,34,35,32,29,31,38,31,34,34,35,34,35,34,33,32,41,34,36,38,38,36,40,38,35,35,39,33,35,36,34,39,37,33,38,45,41,46,46,48,46,41,48,49,44,51,44,43,43,42,46,43,44,50,49,44,47,53,45,47,48,43,44,48,46,43,50,55,52,50,47,46,53,56,54,49,50,50,53,54,56,58,62,62
